0.415: [GC 8192K->880K(31424K), 0.0028100 secs]
0.810: [GC 9072K->1440K(31424K), 0.0018207 secs]
1.185: [GC 9632K->1732K(31424K), 0.0020083 secs]
2.966: [GC 9924K->3436K(31424K), 0.0025299 secs]
3.197: [GC 11628K->3996K(31232K), 0.0048559 secs]
3.352: [GC 11996K->4076K(33024K), 0.0059808 secs]
3.594: [GC 12204K->4976K(32896K), 0.0031707 secs]
3.861: [GC 13104K->11206K(38336K), 0.0107102 secs]
4.509: [GC 24902K->15314K(40896K), 0.0078579 secs]
5.782: [GC 29010K->17538K(50176K), 0.0132840 secs]
9.189: [GC 39042K->18843K(50624K), 0.0154013 secs]
9.204: [Full GC 18843K->6850K(50944K), 0.0542821 secs]
9.633: [GC 28354K->11079K(57344K), 0.0084502 secs]
10.667: [GC 41927K->21139K(60864K), 0.0187467 secs]
14.011: [GC 52627K->22379K(76864K), 0.0117185 secs]
14.023: [Full GC 22379K->8124K(84544K), 0.0397839 secs]
14.541: [GC 52604K->20298K(84864K), 0.0164492 secs]
17.745: [GC 64778K->20886K(102976K), 0.0122041 secs]
19.793: [GC 83094K->18742K(104576K), 0.0053537 secs]
22.867: [GC 80950K->26200K(118080K), 0.0088643 secs]
26.321: [GC 102360K->20998K(118912K), 0.0025283 secs]
29.319: [GC 97158K->19430K(129216K), 0.0014319 secs]
31.553: [GC 108710K->34272K(131392K), 0.0163832 secs]
31.570: [Full GC 34272K->21490K(150016K), 0.0756409 secs]
35.032: [GC 110770K->26936K(167168K), 0.0079607 secs]
38.216: [GC 130576K->23911K(168384K), 0.0045232 secs]
40.190: [GC 129063K->27589K(183616K), 0.0079417 secs]
43.635: [GC 149445K->22818K(166464K), 0.0029285 secs]
49.916: [GC 139426K->22786K(168000K), 0.0084941 secs]
51.816: [GC 134402K->22722K(156672K), 0.0037642 secs]
